Id;X;Y;Z
260;0.201871;0;0.979412
261;0.381117;0;0.924527
262;-0.309142;-0.166651;0.936301
263;-0.107724;-0.174215;0.978798
264;0.107724;-0.174215;0.978798
265;0.309142;-0.166651;0.936301
266;-0.215435;-0.348407;0.91225
267;0;-0.356785;0.934186
268;0.215435;-0.348407;0.91225
269;-0.107715;-0.5226;0.845746
270;0.107715;-0.5226;0.845746
271;0;-0.666564;0.745448
272;-0.666564;0.745448;0
273;-0.5226;0.845746;0.107715
274;-0.348407;0.91225;0.215435
275;-0.166651;0.936301;0.309142
276;0;0.924527;0.381117
277;-0.5226;0.845746;-0.107715
278;-0.356785;0.934186;0
279;-0.174215;0.978798;0.107724
280;-1.27845e-16;0.979412;0.201871
281;-0.348407;0.91225;-0.215435
282;-0.174215;0.978798;-0.107724
283;-1.30533e-16;1;0
284;-0.166651;0.936301;-0.309142
285;-1.27845e-16;0.979412;-0.201871
286;-6.03405e-17;0.924527;-0.381117
287;-0.745448;0;0.666564
288;-0.845746;0.107715;0.5226
289;-0.91225;0.215435;0.348407
290;-0.936301;0.309142;0.166651
291;-0.845746;-0.107715;0.5226
292;-0.934186;0;0.356785
293;-0.978798;0.107724;0.174215
294;-0.91225;-0.215435;0.348407
295;-0.978798;-0.107724;0.174215
296;-0.936301;-0.309142;0.166651
297;-0.309142;0.166651;-0.936301
298;-0.107724;0.174215;-0.978798
299;0.107724;0.174215;-0.978798
300;0.309142;0.166651;-0.936301
301;-0.215435;0.348407;-0.91225
302;0;0.356785;-0.934186
303;0.215435;0.348407;-0.91225
304;-0.107715;0.5226;-0.845746
305;0.107715;0.5226;-0.845746
306;0;0.666564;-0.745448
307;0.166651;-0.936301;-0.309142
308;0.348407;-0.91225;-0.215435
309;0.5226;-0.845746;-0.107715
310;0.666564;-0.745448;0
311;0.174215;-0.978798;-0.107724
312;0.356785;-0.934186;0
313;0.5226;-0.845746;0.107715
314;0.174215;-0.978798;0.107724
315;0.348407;-0.91225;0.215435
316;0.166651;-0.936301;0.309142
317;0.924527;0.381117;0
318;0.979412;0.201871;0
319;1;0;0
320;0.979412;-0.201871;0
321;0.924527;-0.381117;0
322;0.936301;0.309142;-0.166651
323;0.978798;0.107724;-0.174215
324;0.978798;-0.107724;-0.174215
325;0.936301;-0.309142;-0.166651
326;0.91225;0.215435;-0.348407
327;0.934186;0;-0.356785
328;0.91225;-0.215435;-0.348407
329;0.845746;0.107715;-0.5226
330;0.845746;-0.107715;-0.5226
331;0.745448;0;-0.666564
332;-0.309142;0.166651;0.936301
333;-0.107724;0.174215;0.978798
334;0.107724;0.174215;0.978798
335;0.309142;0.166651;0.936301
336;-0.215435;0.348407;0.91225
337;0;0.356785;0.934186
338;0.215435;0.348407;0.91225
339;-0.107715;0.5226;0.845746
340;0.107715;0.5226;0.845746
341;0;0.666564;0.745448
342;0.166651;0.936301;-0.309142
343;0.348407;0.91225;-0.215435
344;0.5226;0.845746;-0.107715
345;0.666564;0.745448;0
346;0.174215;0.978798;-0.107724
347;0.356785;0.934186;0
348;0.5226;0.845746;0.107715
349;0.174215;0.978798;0.107724
350;0.348407;0.91225;0.215435
351;0.166651;0.936301;0.309142
352;0.936301;0.309142;0.166651
353;0.978798;0.107724;0.174215
354;0.978798;-0.107724;0.174215
355;0.936301;-0.309142;0.166651
356;0.91225;0.215435;0.348407
357;0.934186;0;0.356785
358;0.91225;-0.215435;0.348407
359;0.845746;0.107715;0.5226
360;0.845746;-0.107715;0.5226
361;0.745448;0;0.666564
